Procedure Description,Patient Class (Inpatient/Outpatient),Code,Quantity,Rev Code,Gross Charge,Discounted Cash Price (Uninsured Discount 35%),Derived Negotiated Rate Estimate Min,Derived Negotiated Rate Estimate Max,Derived Negotiated Rate Estimate Min.1,Derived Negotiated Rate Estimate Max.1,Derived Negotiated Rate Estimate Min.2,Derived Negotiated Rate Estimate Max.2,HCPCS,HCPCS description
TRANSAPICAL MITRAL VALVE REPAIR TRANSTHORACIC ECHOCARDIOGRAPHY,Outpatient,CPT® 0543T,1,0360 - OPERATING ROOM SERVICES,34719.0,22567.350000000002,28677.89,31976.2,5555.04,6596.61,,,0543T,Ta mv rpr w/artif chord tend
TRANSCATHETER MITRAL VALVE ANNULUS RECONSTRUCTION WITH DEVICE PERCUTANEOUS,Outpatient,CPT® 0544T,1,0360 - OPERATING ROOM SERVICES,34719.0,22567.350000000002,28677.89,31976.2,5555.04,6596.61,,,0544T,Tcat mv annulus rcnstj
TRANSCATHETER TRICUSPID VALVE ANNULUS RECONSTRUCTION WITH DEVICE PERCUTANEOUS,Outpatient,CPT® 0545T,1,0360 - OPERATING ROOM SERVICES,34719.0,22567.350000000002,28677.89,31976.2,5555.04,6596.61,,,0545T,Tcat tv annulus rcnstj
Hc Perm Fallopian Tube Occ W Implnt Transcervical App W Trnsvg Us,Outpatient,CPT® 0567T,1,0361 - MINOR SURGERY,6892.0,4479.8,5692.79,6347.53,1102.72,1309.48,,,0567T,Perm flp tube occls w/implt
Hc Confirm Occ Of Fallopian Tubes Transcerv App Incl Transv And Pelvic Us,Outpatient,CPT® 0568T,1,0361 - MINOR SURGERY,372.0,241.8,307.27,342.61,59.52,70.68,,,0568T,Intro mix saline&air f/ssg
Hc Transcath Tricuspid Valve Repair Perct App Initial Prosthesis,Outpatient,CPT® 0569T,1,0361 - MINOR SURGERY,34719.0,22567.350000000002,28677.89,31976.2,5555.04,6596.61,,,0569T,Ttvr perq appr 1st prosth
Hc Transcath Tricuspid Valve Repair Perct App Each Addtl Prosthesis,Outpatient,CPT® 0570T,1,0361 - MINOR SURGERY,17360.0,11284.0,14339.36,15988.56,2777.6,3298.4,,,0570T,Ttvr perq ea addl prosth
Hc Insert Or Replce Impnt Cardioverter Defib System W Substernal Elect Incl Img,Outpatient,CPT® 0571T,1,0361 - MINOR SURGERY,19438.0,12634.7,16055.79,17902.4,3110.08,3693.2200000000003,32943.45,32943.45,0571T,Insj/rplcmt icds ss eltrd
Hc Insertion Of Substernal Implantable Defib Electrode,Outpatient,CPT® 0572T,1,0361 - MINOR SURGERY,17792.0,11564.800000000001,14696.19,16386.43,2846.7200000000003,3380.48,,,0572T,Insertion ss dfb electrode
Hc Removal Of Substernal Implantable Defib Electrode,Outpatient,CPT® 0573T,1,0361 - MINOR SURGERY,17792.0,11564.800000000001,14696.19,16386.43,2846.7200000000003,3380.48,,,0573T,Removal ss dfb electrode
Hc Reposition Of Prev Implanted Substernal Implantable Defib Pacing,Outpatient,CPT® 0574T,1,0361 - MINOR SURGERY,17792.0,11564.800000000001,14696.19,16386.43,2846.7200000000003,3380.48,,,0574T,Repos prev ss impl dfb eltrd
Hc Prog Device Eval In Person Implnt Cardioverter Deb System W Adjustment,Outpatient,CPT® 0575T,1,0480 - CARDIOLOGY,197.0,128.05,162.72,181.44,31.52,37.43,,,0575T,Prgrmg dev eval icds ss ip
Hc Prog Device Eval In Person Implnt Cardioverter Deb System W Arrythmia Induct,Outpatient,CPT® 0577T,1,0480 - CARDIOLOGY,200.0,130.0,165.2,184.2,32.0,38.0,,,0577T,Ephys eval icds ss
Hc Interrog Device Eval Remote Up To 90 Days Cardio Defib W Remote Data Acq,Outpatient,CPT® 0579T,1,0480 - CARDIOLOGY,200.0,130.0,165.2,184.2,32.0,38.0,,,0579T,Rem interrog dev icds tech
Hc Removal Of Substernal Implantable Defib Pulse Generator Only,Outpatient,CPT® 0580T,1,0361 - MINOR SURGERY,17792.0,11564.800000000001,14696.19,16386.43,2846.7200000000003,3380.48,,,0580T,Rmvl ss impl dfb pg only
Hc Cryoablation Breast Tumor Unilat W Img,Outpatient,CPT® 0581T,1,0361 - MINOR SURGERY,25159.0,16353.35,20781.33,23171.44,4025.44,4780.21,,,0581T,Abltj mal brst tum perq crtx
Hc Perc Implnt/rplc Integrated Sgl Device Neurostim Syst Posterior Tibial Nerve,Outpatient,CPT® 0587T,1,0361 - MINOR SURGERY,1193.0,775.45,985.42,1098.75,190.88,226.67000000000002,,,0587T,Perq impltj/rplcmt isdns ptn
Hc Revise Or Rmv  Integrated Sgl Device Neurostim Syst Posterior Tibial Nerve,Outpatient,CPT® 0588T,1,0361 - MINOR SURGERY,1193.0,775.45,985.42,1098.75,190.88,226.67000000000002,,,0588T,Revision/removal isdns ptn
Hc Elect Anlys W/smpl Prgrm Implant Integrated Neurostim Syst Post Tibial Nerve 1-3,Outpatient,CPT® 0589T,1,0361 - MINOR SURGERY,1125.0,731.25,929.25,1036.13,180.0,213.75,,,0589T,Elec alys smpl prgrmg iins
Hc Elect Anlys/cmplx Prgrm Implant Integrated Neurostim Syst Post Tibial Nerve 4+,Outpatient,CPT® 0590T,1,0361 - MINOR SURGERY,1125.0,731.25,929.25,1036.13,180.0,213.75,,,0590T,Elec alys cplx prgrmg iins
IRREVERSIBLE ELECTROPORATION ABLATION PERCUT WITH IMAGING,Outpatient,CPT® 0600T,1,0361 - MINOR SURGERY,32798.0,21318.7,27091.15,30206.96,5247.68,6231.62,,,0600T,Ire abltj 1+tum organ perq
PERCUT TRNSCATH INTERATRIAL SEPTAL SHUNT DEVICE W IMG GUD,Outpatient,CPT® 0613T,1,0361 - MINOR SURGERY,14868.0,9664.2,12280.97,13693.43,2378.88,2824.92,,,0613T,Perq tcat intratrl septl sht
REMOVAL AND REPLACEMENT OF SUBSTERNAL IMPLANTABLE DEFIBRILLATOR PULSE GEN,Outpatient,CPT® 0614T,1,0361 - MINOR SURGERY,21601.0,14040.65,17842.43,19894.52,3456.16,4104.19,,,0614T,Rmvl&rplcmt ss impl dfb pg
ENDOVASCULAR VENOUS ARTERIALIZATION TIBIAL OR PERONEAL VEIN TRANSCATHETER,Outpatient,CPT® 0620T,1,0361 - MINOR SURGERY,15736.0,10228.4,12997.94,14492.86,2517.76,2989.84,,,0620T,Evasc ven artlz tibl/prnl vn
PERCUTANEOUS TRANSCATHETER ULTRASOUND ABLATION OF NERVES PULMONARY ARTERIES,Outpatient,CPT® 0632T,1,0361 - MINOR SURGERY,11035.0,7172.75,9114.91,10163.24,1765.6000000000001,2096.65,,,0632T,Perq tcat us abltj nrv p-art
Hc Fine Needle Asp Biopsy Wo Img Ea Addl Lesion,Outpatient,CPT® 10004,1,0361 - MINOR SURGERY,193.0,125.45,159.42,177.75,30.88,36.67,,,10004,Fna bx w/o img gdn ea addl
Hc Fine Needle Asp Biopsy W Ultrasound 1st Lesion,Outpatient,CPT® 10005,1,0361 - MINOR SURGERY,3457.0,2247.05,2855.48,3183.9,553.12,656.83,623.95,623.95,10005,Fna bx w/us gdn 1st les
Hc Fine Needle Asp Biopsy W Ultrasound Ea Addl Lesion,Outpatient,CPT® 10006,1,0361 - MINOR SURGERY,2479.0,1611.3500000000001,2047.65,2283.16,396.64,471.01,,,10006,Fna bx w/us gdn ea addl
Hc Fine Needle Asp Biopsy W Fluoro 1st Lesion,Outpatient,CPT® 10007,1,0361 - MINOR SURGERY,4167.0,2708.55,3441.94,3837.81,666.72,791.73,,,10007,Fna bx w/fluor gdn 1st les
Hc Fine Needle Asp Biopsy W Fluoro Ea Addl Lesion,Outpatient,CPT® 10008,1,0361 - MINOR SURGERY,2479.0,1611.3500000000001,2047.65,2283.16,396.64,471.01,,,10008,Fna bx w/fluor gdn ea addl
Hc Fine Needle Asp Biopsy W Ct 1st Lesion,Outpatient,CPT® 10009,1,0361 - MINOR SURGERY,6520.0,4238.0,5385.52,6004.92,1043.2,1238.8,623.95,623.95,10009,Fna bx w/ct gdn 1st les
Hc Fine Needle Asp Biopsy W Ct Ea Addl Lesion,Outpatient,CPT® 10010,1,0361 - MINOR SURGERY,2479.0,1611.3500000000001,2047.65,2283.16,396.64,471.01,,,10010,Fna bx w/ct gdn ea addl
Hc Fine Needle Asp Biopsy Wo Img 1st Lesion,Outpatient,CPT® 10021,1,0361 - MINOR SURGERY,513.0,333.45,423.74,472.47,82.08,97.47,346.94,346.94,10021,Fna bx w/o img gdn 1st les
Hc Img Guide Fluid Coll Drng By Cath Soft Tissue Perc,Outpatient,CPT® 10030,1,0361 - MINOR SURGERY,648.0,421.2,535.25,596.81,103.68,123.12,623.95,623.95,10030,Guide cathet fluid drainage
Hc Place Soft Tissue Localization Device W Img 1st Lesion,Outpatient,CPT® 10035,1,0361 - MINOR SURGERY,312.0,202.8,257.71,287.35,49.92,59.28,623.95,623.95,10035,Perq dev soft tiss 1st imag
Hc Place Soft Tissue Localization Device W Img Ea Addt Lesion,Outpatient,CPT® 10036,1,0361 - MINOR SURGERY,193.0,125.45,159.42,177.75,30.88,36.67,,,10036,Perq dev soft tiss add imag
Hc I And D Abscess Simple,Outpatient,CPT® 10060,1,0361 - MINOR SURGERY,369.0,239.85,304.79,339.85,59.04,70.11,180.12,180.12,10060,Drainage of skin abscess
Hc I And D Abscess Complicated,Outpatient,CPT® 10061,1,0361 - MINOR SURGERY,817.0,531.0500000000001,674.84,752.46,130.72,155.23,346.94,346.94,10061,Drainage of skin abscess
Hc I And D Pilonidal Cyst Simple,Outpatient,CPT® 10080,1,0361 - MINOR SURGERY,545.0,354.25,450.17,501.95,87.2,103.55,623.95,623.95,10080,Drainage of pilonidal cyst
Hc I And D Fb Subq Simple,Outpatient,CPT® 10120,1,0361 - MINOR SURGERY,561.0,364.65000000000003,463.39,516.68,89.76,106.59,346.94,346.94,10120,Remove foreign body
Hc I And D Fb Subq Complicated,Outpatient,CPT® 10121,1,0361 - MINOR SURGERY,843.0,547.95,696.32,776.4,134.88,160.17000000000002,1411.48,1411.48,10121,Remove foreign body
Hc I And D Hematoma Seroma Fluid,Outpatient,CPT® 10140,1,0361 - MINOR SURGERY,2721.0,1768.65,2247.55,2506.04,435.36,516.99,1411.48,1411.48,10140,Drainage of hematoma/fluid
Hc Puncture Aspiration Of Cyst,Outpatient,CPT® 10160,1,0361 - MINOR SURGERY,753.0,489.45,621.98,693.51,120.48,143.07,346.94,346.94,10160,Puncture drainage of lesion
Hc I And D Post Op Infection Comp,Outpatient,CPT® 10180,1,0361 - MINOR SURGERY,6930.0,4504.5,5724.18,6382.53,1108.8,1316.7,2377.56,2377.56,10180,Complex drainage wound
Hc Debr Skin Up To 10% Body Surface,Outpatient,CPT® 11000,1,0361 - MINOR SURGERY,249.0,161.85,205.67,229.33,39.84,47.31,,,11000,Debride infected skin
Hc Debride Skin At Fx Site,Outpatient,CPT® 11010,1,0361 - MINOR SURGERY,842.0,547.3000000000001,695.49,775.48,134.72,159.98,623.95,623.95,11010,Debride skin at fx site
Hc Debr Subq Tissue <=20 Sq Cm,Outpatient,CPT® 11042,1,0361 - MINOR SURGERY,376.0,244.4,310.58,346.3,60.160000000000004,71.44,346.94,346.94,11042,Deb subq tissue 20 sq cm/<
Hc Debr Muscle Fascia <=20 Sq Cm,Outpatient,CPT® 11043,1,0361 - MINOR SURGERY,348.0,226.20000000000002,287.45,320.51,55.68,66.12,525.84,525.84,11043,Deb musc/fascia 20 sq cm/<
Hc Debr Bone <=20 Sq Cm,Outpatient,CPT® 11044,1,0361 - MINOR SURGERY,468.0,304.2,386.57,431.03,74.88,88.92,1411.48,1411.48,11044,Deb bone 20 sq cm/<
Hc Debr Subq Tissue Add 20sq Cm,Outpatient,CPT® 11045,1,0361 - MINOR SURGERY,226.0,146.9,186.68,208.15,36.160000000000004,42.94,,,11045,Deb subq tissue add-on
Hc Debr Muscle Fascia Addl 20sq Cm,Outpatient,CPT® 11046,1,0361 - MINOR SURGERY,227.0,147.55,187.5,209.07,36.32,43.13,,,11046,Deb musc/fascia add-on
Hc Debr Bone Addl 20 Sq Cm,Outpatient,CPT® 11047,1,0361 - MINOR SURGERY,259.0,168.35,213.93,238.54,41.44,49.21,,,11047,Deb bone add-on
Hc Trimming Of Skin Lesion,Outpatient,CPT® 11055,1,0361 - MINOR SURGERY,106.0,68.9,87.56,97.63,16.96,20.14,180.12,180.12,11055,Trim skin lesion
Hc Trim Skin Lesions 2-4,Outpatient,CPT® 11056,1,0361 - MINOR SURGERY,129.0,83.85000000000001,106.55,118.81,20.64,24.51,180.12,180.12,11056,Trim skin lesions 2 to 4
Hc Trim Skin Lesions >4,Outpatient,CPT® 11057,1,0361 - MINOR SURGERY,470.0,305.5,388.22,432.87,75.2,89.3,,,11057,Trim skin lesions over 4
Hc Tangential Biopsy Skin Single Les,Outpatient,CPT® 11102,1,0361 - MINOR SURGERY,263.0,170.95000000000002,217.24,242.22,42.08,49.97,180.12,180.12,11102,Tangntl bx skin single les
Hc Tangential Biopsy Skin Ea Sep/addl,Outpatient,CPT® 11103,1,0361 - MINOR SURGERY,141.0,91.65,116.47,129.86,22.56,26.79,,,11103,Tangntl bx skin ea sep/addl
Hc Punch Biopsy Skin Single Lesion,Outpatient,CPT® 11104,1,0361 - MINOR SURGERY,263.0,170.95000000000002,217.24,242.22,42.08,49.97,346.94,346.94,11104,Punch bx skin single lesion
Hc Punch Biopsy Skin Ea Sep/addl,Outpatient,CPT® 11105,1,0361 - MINOR SURGERY,141.0,91.65,116.47,129.86,22.56,26.79,,,11105,Punch bx skin ea sep/addl
Hc Incisional Biopsy Of Skin Single Lesion,Outpatient,CPT® 11106,1,0361 - MINOR SURGERY,263.0,170.95000000000002,217.24,242.22,42.08,49.97,525.84,525.84,11106,Incal bx skn single les
Hc Incisional Biopsy Of Skin Each Additional,Outpatient,CPT® 11107,1,0361 - MINOR SURGERY,141.0,91.65,116.47,129.86,22.56,26.79,,,11107,Incal bx skn ea sep/addl
Hc Shave Epidermal Dermal Lesion,Outpatient,CPT® 11300,1,0361 - MINOR SURGERY,470.0,305.5,388.22,432.87,75.2,89.3,,,11300,Shave skin lesion 0.5 cm/<
Hc Exc Bng Lsn Mrgs 1.1-2.0 Cm,Outpatient,CPT® 11402,1,0361 - MINOR SURGERY,780.0,507.0,644.28,718.38,124.8,148.2,,,11402,Exc tr-ext b9+marg 1.1-2 cm
Hc Exc Ben Lesion S N H F G 1.1-2cm,Outpatient,CPT® 11422,1,0361 - MINOR SURGERY,2363.0,1535.95,1951.84,2176.32,378.08,448.97,,,11422,Exc h-f-nk-sp b9+marg 1.1-2
"BENIGN LESION EXCISION; SCALP, NECK, HAND, FEET GENTALIA; 3.1 TO 4 CM",Outpatient,CPT® 11424,1,0361 - MINOR SURGERY,2363.0,1535.95,1951.84,2176.32,378.08,448.97,,,11424,Exc h-f-nk-sp b9+marg 3.1-4
Hc Excise Benign Lesion Face 1.1-2cm,Outpatient,CPT® 11442,1,0361 - MINOR SURGERY,2363.0,1535.95,1951.84,2176.32,378.08,448.97,,,11442,Exc face-mm b9+marg 1.1-2 cm
Hc Exc Malignant Les Face 2.1-3.0 Cm,Outpatient,CPT® 11643,1,0361 - MINOR SURGERY,2363.0,1535.95,1951.84,2176.32,378.08,448.97,,,11643,Exc f/e/e/n/l mal+mrg 2.1-3
Hc Trim Of Nondystrophic Nails,Outpatient,CPT® 11719,1,0450 - EMERGENCY ROOM,75.0,48.75,61.95,69.08,12.0,14.25,55.84,55.84,11719,Trim nail(s) any number
Hc Debr Nails Up To 5,Outpatient,CPT® 11720,1,0361 - MINOR SURGERY,432.0,280.8,356.83,397.87,69.12,82.08,55.84,55.84,11720,Debride nail 1-5
Hc Debr Nails 6 Or More,Outpatient,CPT® 11721,1,0361 - MINOR SURGERY,666.0,432.90000000000003,550.12,613.39,106.56,126.54,55.84,55.84,11721,Debride nail 6 or more
Hc Avulsion Nail Plate Single,Outpatient,CPT® 11730,1,0361 - MINOR SURGERY,356.0,231.4,294.06,327.88,56.96,67.64,180.12,180.12,11730,Removal of nail plate
Hc Avulsion Nail Plate Each Addl,Outpatient,CPT® 11732,1,0361 - MINOR SURGERY,217.0,141.05,179.24,199.86,34.72,41.230000000000004,,,11732,Remove nail plate add-on
Hc Evacuation Subungual Hematoma,Outpatient,CPT® 11740,1,0361 - MINOR SURGERY,354.0,230.1,292.4,326.03,56.64,67.26,112.31,112.31,11740,Drain blood from under nail
Hc Excision Nail And Matrix,Outpatient,CPT® 11750,1,0361 - MINOR SURGERY,538.0,349.7,444.39,495.5,86.08,102.22,,,11750,Removal of nail bed
Hc Repair Nail Bed,Outpatient,CPT® 11760,1,0361 - MINOR SURGERY,370.0,240.5,305.62,340.77,59.2,70.3,525.84,525.84,11760,Repair of nail bed
Hc Excision Nail Fold Toe,Outpatient,CPT® 11765,1,0361 - MINOR SURGERY,477.0,310.05,394.0,439.32,76.32000000000001,90.63,346.94,346.94,11765,Excision of nail fold toe
Hc Inject Skin Lesions 7 Or Less,Outpatient,CPT® 11900,1,0510 - CLINIC,340.0,221.0,280.84,313.14,54.4,64.6,,,11900,Inject skin lesions </w 7
Hc Removal Contraceptive Capsule,Outpatient,CPT® 11976,1,0361 - MINOR SURGERY,928.0,603.2,766.53,854.69,148.48,176.32,623.95,623.95,11976,Remove contraceptive capsule
Hc Insertion Contraceptive Capsule,Outpatient,CPT® 11981,1,0361 - MINOR SURGERY,928.0,603.2,766.53,854.69,148.48,176.32,112.31,112.31,11981,Insertion drug dlvr implant
Hc Removal Nonbiodegrad Drug Delivery Implant,Outpatient,CPT® 11982,1,0361 - MINOR SURGERY,2911.0,1892.15,2404.49,2681.03,465.76,553.09,,,11982,Remove drug implant device
Hc Secondary Closure Surg Wound,Outpatient,CPT® 13160,1,0510 - CLINIC,775.0,503.75,640.15,713.78,124.0,147.25,,,13160,Late closure of wound
Hc High Cost  Applic Ss Tal 1st 25 Up To 100 Sq Cm,Outpatient,CPT® 15271,1,0510 - CLINIC,519.0,337.35,428.69,478.0,83.04,98.61,1720.82,1720.82,15271,Skin sub graft trnk/arm/leg
HC APPLIC SS TAL ADDL 25 UP TO 100 SQ CM,Outpatient,CPT® 15272,1,0510 - CLINIC,560.0,364.0,462.56,515.76,89.60000000000001,106.4,,,15272,Skin sub graft t/a/l add-on
Hc High Cost Applic Ss Tal 1st 100sq Cm More Than 100sq Cm,Outpatient,CPT® 15273,1,0510 - CLINIC,675.0,438.75,557.55,621.68,108.0,128.25,3533.36,3533.36,15273,Skin sub grft t/arm/lg child
Hc High Cost Applic Ss Tal Addl 100 Sq Cm,Outpatient,CPT® 15274,1,0510 - CLINIC,745.0,484.25,615.37,686.15,119.2,141.55,,,15274,Skn sub grft t/a/l child add
Hc High Cost Applic Ss Hhfg 1st 25 Up To 100 Sqcm,Outpatient,CPT® 15275,1,0510 - CLINIC,525.0,341.25,433.65,483.53,84.0,99.75,1720.82,1720.82,15275,Skin sub graft face/nk/hf/g
Hc High Cost Applic Ss Hhfg Addl 25 Up To 100 Sqcm,Outpatient,CPT® 15276,1,0510 - CLINIC,617.0,401.05,509.64,568.26,98.72,117.23,,,15276,Skin sub graft f/n/hf/g addl
Hc High Cost Applic Ss Hhfg 1st 100=>100sq Cm,Outpatient,CPT® 15277,1,0510 - CLINIC,883.0,573.95,729.36,813.24,141.28,167.77,1720.82,1720.82,15277,Skn sub grft f/n/hf/g child
Hc High Cost Applic Ss Hhfg Addl 100=>100sq Cm,Outpatient,CPT® 15278,1,0510 - CLINIC,745.0,484.25,615.37,686.15,119.2,141.55,,,15278,Skn sub grft f/n/hf/g ch add
Hc Treatment Burn Initial,Outpatient,CPT® 16000,1,0450 - EMERGENCY ROOM,521.0,338.65000000000003,430.35,479.84,83.36,98.99,180.12,180.12,16000,Initial treatment of burn(s)
Hc Dress Or Debr Burn Wo Anes Small,Outpatient,CPT® 16020,1,0510 - CLINIC,219.0,142.35,180.89,201.7,35.04,41.61,180.12,180.12,16020,Dress/debrid p-thick burn s
Hc Dress Or Debr Burn Wo Anes Medium,Outpatient,CPT® 16025,1,0361 - MINOR SURGERY,542.0,352.3,447.69,499.18,86.72,102.98,,,16025,Dress/debrid p-thick burn m
Hc Dress Or Debr Burn Wo Anes Large,Outpatient,CPT® 16030,1,0361 - MINOR SURGERY,583.0,378.95,481.56,536.94,93.28,110.77,,,16030,Dress/debrid p-thick burn l
Hc Destruction Flat Warts <15,Outpatient,CPT® 17110,1,0361 - MINOR SURGERY,1594.0,1036.1000000000001,1316.64,1468.07,255.04,302.86,180.12,180.12,17110,Destruct b9 lesion 1-14
Hc Cauterize Tissue Chemical,Outpatient,CPT® 17250,1,0361 - MINOR SURGERY,184.0,119.60000000000001,151.98,169.46,29.44,34.96,180.12,180.12,17250,Chem caut of granltj tissue
Hc Unlisted Procedure Skin Or Tissue,Outpatient,CPT® 17999,1,0361 - MINOR SURGERY,1125.0,731.25,929.25,1036.13,180.0,213.75,180.12,180.12,17999,Skin tissue procedure
Hc Aspiration Cyst Breast Initial,Outpatient,CPT® 19000,1,0361 - MINOR SURGERY,228.0,148.20000000000002,188.33,209.99,36.480000000000004,43.32,623.95,623.95,19000,Drainage of breast lesion
Hc Aspiration Cyst Breast Addl,Outpatient,CPT® 19001,1,0361 - MINOR SURGERY,228.0,148.20000000000002,188.33,209.99,36.480000000000004,43.32,,,19001,Drain breast lesion add-on
Hc Inj Ductogram Or Galactogram,Outpatient,CPT® 19030,1,0361 - MINOR SURGERY,1234.0,802.1,1019.28,1136.51,197.44,234.46,,,19030,Injection for breast x-ray
HC BX BREAST W DEVICE STEREOTACTIC 1ST LES,Outpatient,CPT® 19081,1,0361 - MINOR SURGERY,7263.0,4720.95,5999.24,6689.22,1162.08,1379.97,1411.48,1411.48,19081,Bx breast 1st lesion strtctc
Hc Bx Breast W Device Stereotactic Addl Les,Outpatient,CPT® 19082,1,0361 - MINOR SURGERY,656.0,426.40000000000003,541.86,604.18,104.96000000000001,124.64,,,19082,Bx breast add lesion strtctc
